Quarter,Category,Store,Department,Amount
"Q1, 26",Wages,A,DELI ,854.00
"Q4, 24",Wages,A,PRODUCE ,879.00
"Q4, 25",Wages,A,PRODUCE ,902.00
"Q4, 24",Cost of Goods Sold,A,BEER ,961.00
"Q3, 25",Wages,A,DELI ,982.00
"Q3, 25",Wages,A,PRODUCE ,988.00
"Q1, 25",Cost of Goods Sold,A,BAKERY ,994.00
"Q1, 25",Wages,A,Grocery,995.00
"Q1, 24",Wages,A,Store Mgr Pay,1000.00
"Q2, 24",Wages,A,Store Mgr Pay,1000.00
"Q2, 26",Wages,A,PRODUCE ,1009.00
"Q1, 24",Cost of Goods Sold,A,HBA ,1024.00
"Q2, 26",Wages,A,DELI ,1058.00
"Q2, 25",Wages,A,MEAT ,1097.00
"Q1, 25",Wages,A,MEAT ,1102.00
"Q2, 26",Wages,A,DELI ,1153.00
"Q2, 26",Supplies,A,Grocery,1165.00
"Q2, 26",Wages,A,Grocery,1183.00
"Q4, 25",Wages,A,DELI ,1255.00
"Q2, 25",Wages,A,Grocery,1312.00
"Q3, 25",Cost of Goods Sold,A,BAKERY ,1339.00
"Q1, 26",Supplies,A,Grocery,1375.00
"Q4, 25",Wages,A,Grocery,1395.00
"Q2, 26",Cost of Goods Sold,A,MEAT ,1400.00
"Q4, 24",Wages,A,DELI ,1444.00
"Q4, 24",Wages,A,Grocery,1451.00
"Q4, 25",Wages,A,Grocery,1467.00
"Q1, 26",Wages,A,Grocery,1474.00
"Q3, 24",Wages,A,Grocery,1533.00
"Q4, 24",Wages,A,Grocery,1556.00
"Q4, 25",Cost of Goods Sold,A,BEER ,1564.00
"Q3, 25",Cost of Goods Sold,A,BEER ,1572.00
"Q4, 24",Wages,A,MEAT ,1663.00
"Q3, 25",Cost of Goods Sold,A,WINE ,1683.00
"Q4, 24",Wages,A,PRODUCE ,1692.00
"Q4, 25",Cost of Goods Sold,A,TOBACCO ,1725.00
"Q2, 24",Wages,A,Grocery,1735.00
"Q2, 26",Cost of Goods Sold,A,PRODUCE ,1762.00
"Q1, 26",Wages,A,DELI ,1774.00
"Q4, 25",Supplies,A,MEAT ,1781.00
"Q3, 24",Wages,A,MEAT ,1783.00
"Q1, 26",Cost of Goods Sold,A,BAKERY ,1784.00
"Q4, 25",Supplies,A,DELI ,1839.00
"Q4, 24",Cost of Goods Sold,A,WINE ,1907.00
"Q1, 25",Supplies,A,MEAT ,1985.00
"Q3, 25",Wages,A,MEAT ,2000.00
"Q3, 24",Wages,A,DELI ,2036.00
"Q4, 25",Wages,A,MEAT ,2047.00
"Q2, 24",Cost of Goods Sold,A,WINE ,2065.00
"Q1, 25",Wages,A,Store Mgr Pay,2065.00
"Q2, 25",Supplies,A,MEAT ,2081.00
"Q3, 25",Supplies,A,MEAT ,2092.00
"Q3, 25",Wages,A,Grocery,2121.00
"Q2, 24",Cost of Goods Sold,A,BEER ,2122.00
"Q2, 25",Wages,A,DELI ,2123.00
"Q2, 26",Supplies,A,MEAT ,2197.00
"Q1, 26",Supplies,A,DELI ,2268.00
"Q1, 24",Wages,A,MEAT ,2304.00
"Q2, 25",Cost of Goods Sold,A,PRODUCE ,2346.00
"Q4, 25",Supplies,A,Grocery,2347.00
"Q1, 25",Cost of Goods Sold,A,BEER ,2355.00
"Q2, 26",Supplies,A,DELI ,2369.00
"Q1, 24",Wages,A,Grocery,2416.00
"Q3, 24",Supplies,A,MEAT ,2464.00
"Q1, 24",Cost of Goods Sold,A,PRODUCE ,2528.00
"Q4, 25",Cost of Goods Sold,A,TOBACCO ,2529.00
"Q3, 24",Wages,A,PRODUCE ,2692.00
"Q4, 24",Wages,A,Grocery,2709.00
"Q2, 26",Cost of Goods Sold,A,DELI ,2713.00
"Q2, 26",Cost of Goods Sold,A,BEER ,2783.00
"Q4, 25",Cost of Goods Sold,A,MEAT ,2783.00
